# Bornomala Bangla phonetic-key index: ambiguity-collapsed key -> Bangla words.
# Generated by scripts/gen_bn_phonetic.py from bn_frequency.txt; do not hand-edit.
# The key algorithm is BanglaPhoneticKey.banglaKey; BanglaPhoneticKeyTest re-derives
# every line below with the Kotlin implementation so the two cannot drift.
a	আ আঃ
biday	বিদায়
bidba	বিধবা
bidbngsi	বিধ্বংসী
bidbst	বিধ্বস্ত
bidese	বিদেশে
bidesi	বিদেশী বিদেশি
bidi	ভিডিও
bidita	ভিডিওটা
bidite	ভিডিওতে
bidrh	বিদ্রোহ
bidrhi	বিদ্রোহী
bidrhider	বিদ্রোহীদের
bidyman	বিদ্যমান
bidyut	বিদ্যুৎ
bidyuter	বিদ্যুতের
bidyutik	বৈদ্যুতিক
big	বিগ অভিজ্ঞ ভিগো
bigan	বিজ্ঞান
biganer	বিজ্ঞানের
bigani	বিজ্ঞানী
biganik	বৈজ্ঞানিক
biganira	বিজ্ঞানীরা
bigapn	বিজ্ঞাপন
bigt	বিগত
bigta	অভিজ্ঞতা
bigul	বইগুলো
bigy	অভিজ্ঞ
bigyan	বিজ্ঞান
bigyaner	বিজ্ঞানের
bigyani	বিজ্ঞানী
bigyanik	বৈজ্ঞানিক
bigyanira	বিজ্ঞানীরা
bigyapn	বিজ্ঞাপন
bigyta	অভিজ্ঞতা
bihin	বিহীন
bij	বীজ
bijan	অভিযান
bijane	অভিযানে
bijaner	অভিযানের
bijat	অভিজাত
bijatri	অভিযাত্রী
bije	ভিজে
bijg	অভিযোগ
bijge	অভিযোগে
bijn	অভিজ্ঞ
bijnan	বিজ্ঞান
bijnaner	বিজ্ঞানের
bijnani	বিজ্ঞানী
bijnanik	বৈজ্ঞানিক
bijnanira	বিজ্ঞানীরা
bijnapn	বিজ্ঞাপন
bijnes	বিজনেস
bijneser	বিজনেসের
bijnta	অভিজ্ঞতা
bijukt	অভিযুক্ত
bijy	ভিজয় বিজয়
bijyer	বিজয়ের
bijyi	বিজয়ী
bika	ভিক্ষা
bikal	বিকাল
bikale	বিকালে
bikari	ভিখারি
bikel	বিকেল
bikele	বিকেলে
biki	ভিকি
