# Bornomala Bangla phonetic-key index: ambiguity-collapsed key -> Bangla words.
# Generated by scripts/gen_bn_phonetic.py from bn_frequency.txt; do not hand-edit.
# The key algorithm is BanglaPhoneticKey.banglaKey; BanglaPhoneticKeyTest re-derives
# every line below with the Kotlin implementation so the two cannot drift.
a	আ আঃ
ekan	এখান একান
ekane	এখানে এখানেও
ekanei	এখানেই
ekaner	এখানের
ekankar	এখানকার
ekanta	এখানটা
ekantay	এখানটায়
ekante	একান্তে
ekar	একার
ekaunt	একাউন্ট
ekaunte	একাউন্টে
ekbabe	একভাবে
ekbar	একবার একবারও
ekbare	একবারে
ekbarer	একবারের
ekbari	একবারই
ekda	একদা
ekdike	একদিকে
ekdin	একদিন
ekdine	একদিনে
ekdiner	একদিনের
ekdl	একদল
ekdm	একদম
ekdmi	একদমই
ekdrner	একধরণের একধরনের
eke	একে
ekebare	একেবারে এক্কেবারে
ekebarei	একেবারেই
ekei	একেই
ekekta	একেকটা
eker	একের
ekere	এক্কেরে
eketre	এক্ষেত্রে
ekgada	একগাদা
ekgeye	একঘেয়ে
eki	একই একি
ekibabe	একইভাবে
ekirkm	একইরকম
ekjn	একজন একজনও
ekjner	একজনের
ekjni	একজনই
ekjnke	একজনকে
ekk	একক
ekkan	একখান
ekla	একলা
ekmatr	একমাত্র
ekmt	একমত
ekn	এখন এখনো এখনও এক্ষণ
ekne	এখনে
ekni	এখনই এখনি
eknkar	এখনকার
eknt	এখনতো
ekpase	একপাশে
ekr	একর
ekrkm	একরকম
eks	এক্স একশ একশো এক্সও
eksate	একসাথে
eksatei	একসাথেই
eksel	এক্সেল
ekses	এক্সেস
eksetre	এক্ষেত্রে
eksident	এক্সিডেন্ট
ekskiuj	এক্সকিউজ
eksmy	একসময়
eksn	এক্ষণ
eksnge	একসঙ্গে
ekspart	এক্সপার্ট
ekspekt	এক্সপেক্টো
ekspeliarms	এক্সপেলিআর্মস
eksperiment	এক্সপেরিমেন্ট
eksplrar	এক্সপ্লোরার
ekspres	এক্সপ্রেস
ekstra	এক্সট্রা
eksuni	এক্ষুনি এক্ষুণি
ekta	একটা একটাও একথা একতা
ektai	একটাই
ektake	একটাকে
ektar	একটার
ekti	একটি
ektr	একত্র
ektre	একত্রে
ektrit	একত্রিত
ektu	একটু একটুও
ektukani	একটুখানি
ektur	একটুর
ekuni	এক্ষুনি এখুনি এক্ষুণি
el	এলো এল
ela	এলা
elaka	এলাকা
elakar	এলাকার
elakay	এলাকায়
elam	এলাম
elan	এলান
elarm	এলার্ম
elbis	এলভিশ
ele	এলে
eleks	এলেক্স
elen	এলেন
eli	এলি
elija	এলিজা
elijabet	এলিজাবেথ
elinr	এলিনর
elis	এলিস
eliyen	এলিয়েন
elmel	এলোমেলো
elp	এলফ
elsa	এলসা
elsi	এলসি
em	এম
ema	এমা
embrj	এমব্রোজ
emele	এমএলএ
emil	এমিল
emili	এমিলি
emiliya	এমিলিয়া
emn	এমন
emnbabe	এমনভাবে
emne	এমনে
emni	এমনি এমনই
emnii	এমনিই
emnite	এমনিতেও এমনিতে
emnitei	এমনিতেই
emnki	এমনকি
emnta	এমনটা
emntai	এমনটাই
emnti	এমনটি
empudi	এম্পুডি
en	এন এনো
ena	এনা
enarji	এনার্জি
enastasiya	এনাসতাসিয়া
end	এন্ড
endarsn	এন্ডারসন
ene	এনে
enec	এনেছ এনেছো
enece	এনেছে
enecen	এনেছেন
eneci	এনেছি
enecil	এনেছিল
enecilam	এনেছিলাম
enecis	এনেছিস
engejment	এনগেজমেন্ট
engel	এঙ্গেল
eni	এনি
enigma	এনিগমা
enjel	এঞ্জেলো
enjels	এঞ্জেলস
enjelse	এঞ্জেলসে
entena	এন্টেনা
entibdi	এন্টিবডি
entri	এন্ট্রি
ep	এফ
epartment	এপার্টমেন্ট
epartmente	এপার্টমেন্টে
epbiai	এফবিআই
epril	এপ্রিল
eps	এপস
er	এর
era	এরা
eragrn	এরাগর্ন
erai	এরাই
erate	এড়াতে
erceye	এরচেয়ে
erest	এরেস্ট
erik	এরিক
erika	এরিকা
eriker	এরিকের
eris	এরিস
eriya	এরিয়া
eriye	এড়িয়ে
erjny	এরজন্য
erkm	এরকম
erkmi	এরকমই
erkmta	এরকমটা
ermdye	এরমধ্যে
erpr	এরপর
erpre	এরপরে এরপরেও
es	এসো এস
esb	এসব
esbe	এসবে
esber	এসবের
esbi	এসবই
esbkicu	এসবকিছু
ese	এসে
esec	এসেছ এসেছো
esece	এসেছে
esecen	এসেছেন
eseci	এসেছি
esecil	এসেছিল এসেছিলো
esecilam	এসেছিলাম
esecile	এসেছিলে
esecilen	এসেছিলেন
esecis	এসেছিস
esei	এসেই
esi	এসি
esna	এসোনা
espsit	এসপোসিতো
estas	এস্টাস
et	এত এতো এত্ত
eta	এটা এটাও
etai	এটাই
etak	এটাক
etake	এটাকে
etakei	এটাকেই
etar	এটার
etat	এটাতো
etate	এটাতে
etay	এটায়
etdin	এতদিন এতোদিন
etdine	এতদিনে
etdur	এতদূর
ete	এতে
etei	এতেই
etgul	এতগুলো এতোগুলো
eti	এটি এতই এতোই
etiem	এটিএম
etii	এটিই
etike	এটিকে
etim	এতিম
etir	এটির
etkicu	এতকিছু
etkn	এতক্ষণ এতক্ষন
etkne	এতক্ষণে এতক্ষনে
etksn	এতক্ষণ এতক্ষন
etksne	এতক্ষণে এতক্ষনে
etm	এটম
etsb	এতসব
etta	এতটা এতোটা
ettai	এতটাই
ettuku	এতটুকু
ettukui	এতটুকুই
etuku	এটুকু
etukui	এটুকুই
eya	এ্যা
eyaleks	এ্যালেক্স
eyali	এ্যালি
eyar	এয়ার
eyarlain	এয়ারলাইন
eyarprt	এয়ারপোর্ট
eyarprte	এয়ারপোর্টে
g	গো ওগো
ga	গা গাও ঘা
gaba	গাওয়া
gabar	গাওয়ার
gac	গাছ
gace	গাছে
gacer	গাছের
gacpala	গাছপালা
gacta	গাছটা
gada	গাধা গাদা
gadar	গাধার
gai	গাই
gaice	গাইছে
gaid	গাইড
gaite	গাইতে
gaja	গাঁজা
gajr	গাজর
gal	গাল
gale	গালে
gali	গালি
gam	ঘাম গাম
gamp	গাম্প
gamra	গামোরা
gan	গান জ্ঞান অজ্ঞান গানঃ গানও
gane	গানে
ganer	গানের জ্ঞানের
gani	জ্ঞানী
ganitik	গাণিতিক
ganta	গানটা
gapla	ঘাপলা
gar	ঘাড়
gard	গার্ড গার্ডো
gardder	গার্ডদের
garder	গার্ডের
gardiyan	গার্ডিয়ান
gardnar	গার্ডনার
gare	ঘাড়ে
garer	ঘাড়ের
gari	গাড়ি গাড়ী
garigul	গাড়িগুলো
garike	গাড়িকে
garir	গাড়ির
garita	গাড়িটা
garitake	গাড়িটাকে
garitar	গাড়িটার
garite	গাড়িতে গাড়ীতে
gariti	গাড়িটি
garl	গার্ল
garlprend	গার্লফ্রেন্ড
garlprender	গার্লফ্রেন্ডের
garls	গার্লস
gas	গাস ঘাস
gaser	ঘাসের
gastas	অগাস্টাস
gat	অজ্ঞাত
gatite	ঘাঁটিতে
gatti	ঘাটতি
gay	গায়
gaya	গাওয়া
gayar	গাওয়ার
gaye	গায়ে
gayeb	গায়েব
gayer	গায়ের
gayetri	গায়েত্রী
gbesk	গবেষক
gbesna	গবেষণা
gbesnar	গবেষণার
gbir	গভীর
gbirbabe	গভীরভাবে
gbire	গভীরে
gbirta	গভীরতা
gbrnr	গভর্নর
gcan	গোছানো
gcgac	গোছগাছ
gd	গড
gdpadar	গডফাদার
ge	গে
gec	গেছো গেছ
gece	গেছে
gecen	গেছেন
geci	গেছি
gecil	গেছিল গেছিলো
gecilam	গেছিলাম
gecis	গেছিস
geim	গেইম
geit	গেইট
gel	গেল গেলো
gelam	গেলাম
gele	গেলে গেলেও
gelei	গেলেই
gelen	গেলেন
geli	গেলি
gem	গেম
gendalp	গেন্ডালফ
gera	ঘেরাও
gere	গেড়ে
gese	গেসে
gest	গেস্ট
get	গেট গেটো
geu	ঘেউ
geye	গেয়ে
ghbr	গহ্বর
gibs	গিবস
gile	গিলে
gilu	ঘিলু
ginipig	গিনিপিগ
gipt	গিফট
gire	ঘিরে
girgiti	গিরগিটি
girja	গির্জা
girjay	গির্জায়
git	গিঁট
gita	গীতা
gitake	গীতাকে
gitar	গীতার
giya	গিয়া
giyar	গিয়ার
giye	গিয়ে
giyec	গিয়েছ গিয়েছো
giyece	গিয়েছে
giyecen	গিয়েছেন
giyeci	গিয়েছি
giyecil	গিয়েছিল গিয়েছিলো
giyecilam	গিয়েছিলাম
giyecile	গিয়েছিলে
giyecilen	গিয়েছিলেন
giyecis	গিয়েছিস
giyei	গিয়েই
gj	গজ
gjb	গজব
gjrani	গজরানি
gl	গোল
gla	গলা গোলা
glabarud	গোলাবারুদ
glabs	গ্লাভস
glaguli	গোলাগুলি
glam	গোলাম
glap	গোলাপ
glaper	গোলাপের
glapi	গোলাপি গোলাপী
glar	গলার
glas	গ্লাস
glaser	গ্লাসের
glasta	গ্লাসটা
glate	গলাতে
glay	গলায় গোল্লায়
gld	গোল্ড
gldbarg	গোল্ডবার্গ
glden	গোল্ডেন
gle	গলে
glenbruk	গ্লেনব্রুক
gli	গলি
glin	গ্লইন
glinda	গ্লিন্ডা
glite	গলিতে
glk	গোলক
glkdada	গোলকধাঁধা
glkdadar	গোলকধাঁধার
glkdaday	গোলকধাঁধায়
glmal	গোলমাল
glp	গল্প গলফ
glpe	গল্পে
glper	গল্পের
glpgul	গল্পগুলো
glpta	গল্পটা
glpti	গল্পটি
glriya	গ্লোরিয়া
glubar	গ্লুভার
glum	গল্লুম
glyas	গ্ল্যাস
gm	গম
gmbir	গম্ভীর
gmej	গোমেজ
gn	ঘন গণ
gnd	গন্ধ
gndar	গণ্ডার
gndgl	গণ্ডগোল
gndta	গন্ধটা
gnes	গণেশ
gni	অগ্নি
gnist	ঘনিষ্ঠ
gnit	অগণিত গণিত
gniye	ঘনিয়ে
gnna	গণনা
gnta	ঘন্টা ঘণ্টা
gntadbni	ঘন্টাধ্বনি
gntar	ঘন্টার ঘণ্টার
gntay	ঘণ্টায় ঘন্টায়
gntby	গন্তব্য
gntbye	গন্তব্যে
gntntr	গণতন্ত্র
gny	গণ্য
gpn	গোপন
gpne	গোপনে
gpniy	গোপনীয়
gpniyta	গোপনীয়তা
gr	ঘর ঘোর গড়
gra	ঘোড়া ঘোরাও ঘোরা
gradikar	অগ্রাধিকার
grag	গ্রাগ
gragri	গড়াগড়ি
graguri	ঘোরাঘুরি
grahk	গ্রাহক
grahy	অগ্রাহ্য
gram	গ্রাম
grambasi	গ্রামবাসী
grame	গ্রামে
gramer	গ্রামের
grams	গ্রামস
gramy	গ্রাম্য
gran	ঘ্রাণ
grand	গ্রান্ড
grapera	ঘোরাফেরা
grar	ঘোড়ার
gras	গ্রাস
graund	গ্রাউন্ড
gray	ঘোড়ায়
grb	গর্ব
grbbti	গর্ভবতী
grber	গর্বের
grbit	গর্বিত
grbr	গড়বড়
grd	গরডো
grdb	গর্দভ গর্ধব
grdi	গর্ডি
grdn	গর্ডন
grdner	গর্ডনের
gre	ঘরে গড়ে গ্রে ঘোরে
gred	গ্রেড
gregri	গ্রেগরি
grei	ঘরেই
greil	গ্রেইল
greis	গ্রেইস
grened	গ্রেনেড
grenjar	গ্রেঞ্জার
grenli	গ্রেনোলি
greptar	গ্রেফতার গ্রেপ্তার
grer	ঘরের
gres	গ্রেস
gret	গ্রেট
grg	গর্গ
grgti	অগ্রগতি
grh	গ্রহ
grhe	গ্রহে
grher	গ্রহের
grhn	গ্রহণ গ্রহন
gri	ঘড়ি
grib	গরীব গরিব
gribar	গ্রিভার
grid	গ্রিড
grihit	গৃহীত
grik	গ্রিক গ্রীক
grim	গ্রিম
grimhldta	গ্রীমহোল্ডটা
grin	গ্রিন গ্রীন
grina	ঘৃণা ঘৃনা
grini	গ্রিনি
griny	ঘৃণ্য
gripindr	গ্রিফিন্ডর
gripindrer	গ্রিফিন্ডরের
grir	ঘড়ির
grismer	গ্রীষ্মের
grita	ঘড়িটা
gritar	ঘড়িটার
grite	ঘড়িতে
griye	গড়িয়ে
grjn	গর্জন
grm	গরম
grnt	গ্রন্থ
grsr	অগ্রসর
grt	গর্ত
grta	ঘরটা
grte	গর্তে গড়তে
gru	গরু গ্রূ
grup	গ্রুপ
grupe	গ্রুপে
gruper	গ্রুপের
grur	গরুর
grut	গ্রুট গ্রূট
gryadi	গ্র্যাডি
gryand	গ্র্যান্ড
gryant	গ্র্যান্ট
gsl	গোসল
gsler	গোসলের
gsna	ঘোষণা ঘোষনা
gsti	গোষ্ঠী
gt	গত ঘোঁৎ
gta	গোটা ঘটা
gtam	গোথাম
gtame	গোথামে
gtamer	গোথামের
gtar	ঘটার
gtate	ঘটাতে
gtbar	গতবার
gtbe	ঘটবে
gtce	ঘটছে
gte	ঘটে
gtece	ঘটেছে
gtecil	ঘটেছিল ঘটেছিলো
gteni	ঘটেনি
gtgt	ঘোঁতঘোঁত
gti	গতি
gtibidi	গতিবিধি
gtipt	গতিপথ
gtir	গতির
gtite	গতিতে
gtkal	গতকাল
gtkaler	গতকালের
gtkali	গতকালই
